Command: /project/verif/users/arielt/ws/ex_vlsi_switch_project_ariel/Synt/./simv +vcs+initreg+1 +ntb_random_seed_automatic +ERR_PKT -cm line+cond+fsm+branch+tgl -cm_dir ./cov_work/gls_simv.vdb -cm_name gls_final_submission -l gls_final_cg.log
Chronologic VCS simulator copyright 1991-2025
Contains Synopsys proprietary information.
Compiler version X-2025.06-1_Full64; Runtime version X-2025.06-1_Full64;  Jan  9 00:38 2026
NOTE: automatic random seed used: 1417513097
Doing SDF annotation ...... Done
Loading SDF Delays from switch_4port.sdf...
--- Starting Simulation (Driver-Driven) ---
Number of packets about to be generated at each port:  60
[Monitor_2] ID:35 Name:monitored | Src:1000 Tgt:1111 | Data(Hex):0c Data(Dec):12 | Type:BDP
[Monitor_3] ID:36 Name:monitored | Src:1000 Tgt:1111 | Data(Hex):0c Data(Dec):12 | Type:BDP
[Checker] Predicted Drop: Packet ID 37 is INVALID (Src:1000 Tgt:1010). Ignoring.
[Driver_3] ID:37 Name:pkt_3 | Src:1000 Tgt:1010 | Data(Hex):d5 Data(Dec):213 | Type:MDP
[Driver_0] ID:38 Name:pkt_0 | Src:0001 Tgt:1100 | Data(Hex):54 Data(Dec):84 | Type:MDP
[Monitor_0] ID:39 Name:monitored | Src:0100 Tgt:0001 | Data(Hex):99 Data(Dec):153 | Type:SDP
[Driver_2] ID:40 Name:pkt_2 | Src:0100 Tgt:0001 | Data(Hex):f6 Data(Dec):246 | Type:SDP
[Checker] Predicted Drop: Packet ID 41 is INVALID (Src:0010 Tgt:1010). Ignoring.
[Driver_1] ID:41 Name:pkt_1 | Src:0010 Tgt:1010 | Data(Hex):4a Data(Dec):74 | Type:MDP
[Monitor_2] ID:42 Name:monitored | Src:0001 Tgt:1100 | Data(Hex):54 Data(Dec):84 | Type:MDP
[Monitor_3] ID:43 Name:monitored | Src:0001 Tgt:1100 | Data(Hex):54 Data(Dec):84 | Type:MDP
[Checker] Predicted Drop: Packet ID 44 is INVALID (Src:0100 Tgt:1100). Ignoring.
[Driver_2] ID:44 Name:pkt_2 | Src:0100 Tgt:1100 | Data(Hex):ca Data(Dec):202 | Type:MDP
[Monitor_0] ID:45 Name:monitored | Src:0100 Tgt:0001 | Data(Hex):f6 Data(Dec):246 | Type:SDP
[Checker] Predicted Drop: Packet ID 46 is INVALID (Src:0001 Tgt:1001). Ignoring.
[Driver_0] ID:46 Name:pkt_0 | Src:0001 Tgt:1001 | Data(Hex):b9 Data(Dec):185 | Type:MDP
[Checker] Predicted Drop: Packet ID 47 is INVALID (Src:1000 Tgt:1011). Ignoring.
[Driver_3] ID:47 Name:pkt_3 | Src:1000 Tgt:1011 | Data(Hex):09 Data(Dec):9 | Type:MDP
[Checker] Predicted Drop: Packet ID 48 is INVALID (Src:0010 Tgt:1110). Ignoring.
[Driver_1] ID:48 Name:pkt_1 | Src:0010 Tgt:1110 | Data(Hex):24 Data(Dec):36 | Type:MDP
[Driver_0] ID:49 Name:pkt_0 | Src:0001 Tgt:1111 | Data(Hex):ca Data(Dec):202 | Type:BDP
[Checker] Predicted Drop: Packet ID 50 is INVALID (Src:0100 Tgt:1100). Ignoring.
[Driver_2] ID:50 Name:pkt_2 | Src:0100 Tgt:1100 | Data(Hex):0d Data(Dec):13 | Type:MDP
[Driver_2] ID:51 Name:pkt_2 | Src:0100 Tgt:1001 | Data(Hex):08 Data(Dec):8 | Type:MDP
[Driver_3] ID:52 Name:pkt_3 | Src:1000 Tgt:0110 | Data(Hex):14 Data(Dec):20 | Type:MDP
[Monitor_0] ID:53 Name:monitored | Src:0001 Tgt:1111 | Data(Hex):ca Data(Dec):202 | Type:BDP
[Monitor_1] ID:54 Name:monitored | Src:0001 Tgt:1111 | Data(Hex):ca Data(Dec):202 | Type:BDP
[Monitor_2] ID:55 Name:monitored | Src:0001 Tgt:1111 | Data(Hex):ca Data(Dec):202 | Type:BDP
[Monitor_3] ID:56 Name:monitored | Src:0001 Tgt:1111 | Data(Hex):ca Data(Dec):202 | Type:BDP
[Driver_1] ID:57 Name:pkt_1 | Src:0010 Tgt:1000 | Data(Hex):87 Data(Dec):135 | Type:SDP
[Monitor_1] ID:58 Name:monitored | Src:1000 Tgt:0110 | Data(Hex):14 Data(Dec):20 | Type:MDP
[Monitor_2] ID:59 Name:monitored | Src:1000 Tgt:0110 | Data(Hex):14 Data(Dec):20 | Type:MDP
[Driver_0] ID:60 Name:pkt_0 | Src:0001 Tgt:1111 | Data(Hex):c8 Data(Dec):200 | Type:BDP
[Monitor_3] ID:61 Name:monitored | Src:0010 Tgt:1000 | Data(Hex):87 Data(Dec):135 | Type:SDP
[Monitor_0] ID:62 Name:monitored | Src:0100 Tgt:1001 | Data(Hex):08 Data(Dec):8 | Type:MDP
[Monitor_3] ID:63 Name:monitored | Src:0100 Tgt:1001 | Data(Hex):08 Data(Dec):8 | Type:MDP
[Driver_1] ID:64 Name:pkt_1 | Src:0010 Tgt:1111 | Data(Hex):e7 Data(Dec):231 | Type:BDP
[Driver_3] ID:65 Name:pkt_3 | Src:1000 Tgt:0010 | Data(Hex):79 Data(Dec):121 | Type:SDP
[Checker] Predicted Drop: Packet ID 66 is INVALID (Src:0100 Tgt:1110). Ignoring.
[Driver_2] ID:66 Name:pkt_2 | Src:0100 Tgt:1110 | Data(Hex):0d Data(Dec):13 | Type:MDP
[Checker] Predicted Drop: Packet ID 67 is INVALID (Src:0001 Tgt:0001). Ignoring.
[Driver_0] ID:67 Name:pkt_0 | Src:0001 Tgt:0001 | Data(Hex):6d Data(Dec):109 | Type:SDP
[Checker] Predicted Drop: Packet ID 68 is INVALID (Src:1000 Tgt:1001). Ignoring.
[Driver_3] ID:68 Name:pkt_3 | Src:1000 Tgt:1001 | Data(Hex):84 Data(Dec):132 | Type:MDP
[Monitor_0] ID:69 Name:monitored | Src:0001 Tgt:1111 | Data(Hex):c8 Data(Dec):200 | Type:BDP
[Monitor_1] ID:70 Name:monitored | Src:0001 Tgt:1111 | Data(Hex):c8 Data(Dec):200 | Type:BDP
[Monitor_2] ID:71 Name:monitored | Src:0001 Tgt:1111 | Data(Hex):c8 Data(Dec):200 | Type:BDP
[Monitor_3] ID:72 Name:monitored | Src:0001 Tgt:1111 | Data(Hex):c8 Data(Dec):200 | Type:BDP
[Monitor_0] ID:73 Name:monitored | Src:0010 Tgt:1111 | Data(Hex):e7 Data(Dec):231 | Type:BDP
[Monitor_1] ID:74 Name:monitored | Src:0010 Tgt:1111 | Data(Hex):e7 Data(Dec):231 | Type:BDP
[Monitor_2] ID:75 Name:monitored | Src:0010 Tgt:1111 | Data(Hex):e7 Data(Dec):231 | Type:BDP
[Monitor_3] ID:76 Name:monitored | Src:0010 Tgt:1111 | Data(Hex):e7 Data(Dec):231 | Type:BDP
[Checker] Predicted Drop: Packet ID 77 is INVALID (Src:0010 Tgt:0111). Ignoring.
[Driver_1] ID:77 Name:pkt_1 | Src:0010 Tgt:0111 | Data(Hex):aa Data(Dec):170 | Type:MDP
[Monitor_1] ID:78 Name:monitored | Src:1000 Tgt:0010 | Data(Hex):79 Data(Dec):121 | Type:SDP
[Driver_0] ID:79 Name:pkt_0 | Src:0001 Tgt:0010 | Data(Hex):42 Data(Dec):66 | Type:SDP
[Driver_2] ID:80 Name:pkt_2 | Src:0100 Tgt:1010 | Data(Hex):ca Data(Dec):202 | Type:MDP
[Driver_3] ID:81 Name:pkt_3 | Src:1000 Tgt:0010 | Data(Hex):85 Data(Dec):133 | Type:SDP
[Driver_0] ID:82 Name:pkt_0 | Src:0001 Tgt:1110 | Data(Hex):f4 Data(Dec):244 | Type:MDP
[Monitor_1] ID:83 Name:monitored | Src:0001 Tgt:0010 | Data(Hex):42 Data(Dec):66 | Type:SDP
[Driver_1] ID:84 Name:pkt_1 | Src:0010 Tgt:0100 | Data(Hex):e5 Data(Dec):229 | Type:SDP
[Monitor_1] ID:85 Name:monitored | Src:0100 Tgt:1010 | Data(Hex):ca Data(Dec):202 | Type:MDP
[Monitor_3] ID:86 Name:monitored | Src:0100 Tgt:1010 | Data(Hex):ca Data(Dec):202 | Type:MDP
[Driver_0] ID:87 Name:pkt_0 | Src:0001 Tgt:1000 | Data(Hex):fc Data(Dec):252 | Type:SDP
[Monitor_1] ID:88 Name:monitored | Src:1000 Tgt:0010 | Data(Hex):85 Data(Dec):133 | Type:SDP
[Driver_2] ID:89 Name:pkt_2 | Src:0100 Tgt:0010 | Data(Hex):fe Data(Dec):254 | Type:SDP
[Monitor_1] ID:90 Name:monitored | Src:0001 Tgt:1110 | Data(Hex):f4 Data(Dec):244 | Type:MDP
[Monitor_2] ID:91 Name:monitored | Src:0001 Tgt:1110 | Data(Hex):f4 Data(Dec):244 | Type:MDP
[Monitor_3] ID:92 Name:monitored | Src:0001 Tgt:1110 | Data(Hex):f4 Data(Dec):244 | Type:MDP
[Checker] Predicted Drop: Packet ID 93 is INVALID (Src:1000 Tgt:1100). Ignoring.
[Driver_3] ID:93 Name:pkt_3 | Src:1000 Tgt:1100 | Data(Hex):cf Data(Dec):207 | Type:MDP
[Monitor_2] ID:94 Name:monitored | Src:0010 Tgt:0100 | Data(Hex):e5 Data(Dec):229 | Type:SDP
[Driver_2] ID:95 Name:pkt_2 | Src:0100 Tgt:1001 | Data(Hex):2b Data(Dec):43 | Type:MDP
[Monitor_1] ID:96 Name:monitored | Src:0100 Tgt:0010 | Data(Hex):fe Data(Dec):254 | Type:SDP
[Monitor_3] ID:97 Name:monitored | Src:0001 Tgt:1000 | Data(Hex):fc Data(Dec):252 | Type:SDP
[Driver_0] ID:98 Name:pkt_0 | Src:0001 Tgt:1110 | Data(Hex):81 Data(Dec):129 | Type:MDP
[Checker] Predicted Drop: Packet ID 99 is INVALID (Src:0100 Tgt:1101). Ignoring.
[Driver_2] ID:99 Name:pkt_2 | Src:0100 Tgt:1101 | Data(Hex):39 Data(Dec):57 | Type:MDP
[Checker] Predicted Drop: Packet ID 100 is INVALID (Src:0010 Tgt:0010). Ignoring.
[Driver_1] ID:100 Name:pkt_1 | Src:0010 Tgt:0010 | Data(Hex):28 Data(Dec):40 | Type:SDP
[Monitor_0] ID:101 Name:monitored | Src:0100 Tgt:1001 | Data(Hex):2b Data(Dec):43 | Type:MDP
[Monitor_3] ID:102 Name:monitored | Src:0100 Tgt:1001 | Data(Hex):2b Data(Dec):43 | Type:MDP
[Monitor_1] ID:103 Name:monitored | Src:0001 Tgt:1110 | Data(Hex):81 Data(Dec):129 | Type:MDP
[Monitor_2] ID:104 Name:monitored | Src:0001 Tgt:1110 | Data(Hex):81 Data(Dec):129 | Type:MDP
[Monitor_3] ID:105 Name:monitored | Src:0001 Tgt:1110 | Data(Hex):81 Data(Dec):129 | Type:MDP
[Checker] Predicted Drop: Packet ID 106 is INVALID (Src:1000 Tgt:0000). Ignoring.
