Command: /project/verif/users/arielt/ws/ex_vlsi_switch_project_ariel/Synt/./simv +vcs+initreg+1 +ntb_random_seed_automatic +ERR_PKT -cm line+cond+fsm+branch+tgl -cm_dir ./cov_work/gls_simv.vdb -cm_name gls_final_submission -l gls_final_cg_100mhz.log
Chronologic VCS simulator copyright 1991-2025
Contains Synopsys proprietary information.
Compiler version X-2025.06-1_Full64; Runtime version X-2025.06-1_Full64;  Jan 14 17:11 2026
NOTE: automatic random seed used: 2297481700
Doing SDF annotation ...... Done
--- Starting Simulation (Driver-Driven) ---
Number of packets about to be generated at each port:  50
[Driver_3] ID:34 Name:pkt_3 | Src:1000 Tgt:1110 | Data(Hex):bf Data(Dec):191 | Type:MDP
[Checker] Predicted Drop: Packet ID 35 is INVALID (Src:0001 Tgt:0011). Ignoring.
[Driver_0] ID:35 Name:pkt_0 | Src:0001 Tgt:0011 | Data(Hex):12 Data(Dec):18 | Type:MDP
[Checker] Predicted Drop: Packet ID 36 is INVALID (Src:0010 Tgt:0110). Ignoring.
[Driver_1] ID:36 Name:pkt_1 | Src:0010 Tgt:0110 | Data(Hex):34 Data(Dec):52 | Type:MDP
[Checker] Predicted Drop: Packet ID 37 is INVALID (Src:0100 Tgt:1101). Ignoring.
[Driver_2] ID:37 Name:pkt_2 | Src:0100 Tgt:1101 | Data(Hex):69 Data(Dec):105 | Type:MDP
[Driver_0] ID:38 Name:pkt_0 | Src:0001 Tgt:1000 | Data(Hex):08 Data(Dec):8 | Type:SDP
[Checker] Predicted Drop: Packet ID 39 is INVALID (Src:1000 Tgt:1001). Ignoring.
[Driver_3] ID:39 Name:pkt_3 | Src:1000 Tgt:1001 | Data(Hex):da Data(Dec):218 | Type:MDP
[Driver_2] ID:40 Name:pkt_2 | Src:0100 Tgt:1000 | Data(Hex):b0 Data(Dec):176 | Type:SDP
[Monitor_3] ID:41 Name:monitored | Src:0001 Tgt:1000 | Data(Hex):08 Data(Dec):8 | Type:SDP
[Checker] Predicted Drop: Packet ID 42 is INVALID (Src:0010 Tgt:1110). Ignoring.
[Driver_1] ID:42 Name:pkt_1 | Src:0010 Tgt:1110 | Data(Hex):5e Data(Dec):94 | Type:MDP
[Checker] Predicted Drop: Packet ID 43 is INVALID (Src:0010 Tgt:0110). Ignoring.
[Driver_1] ID:43 Name:pkt_1 | Src:0010 Tgt:0110 | Data(Hex):1c Data(Dec):28 | Type:MDP
[Driver_3] ID:44 Name:pkt_3 | Src:1000 Tgt:0110 | Data(Hex):37 Data(Dec):55 | Type:MDP
[Monitor_3] ID:45 Name:monitored | Src:0100 Tgt:1000 | Data(Hex):b0 Data(Dec):176 | Type:SDP
[Checker] Predicted Drop: Packet ID 46 is INVALID (Src:0001 Tgt:1011). Ignoring.
[Driver_0] ID:46 Name:pkt_0 | Src:0001 Tgt:1011 | Data(Hex):3a Data(Dec):58 | Type:MDP
[Driver_2] ID:47 Name:pkt_2 | Src:0100 Tgt:0001 | Data(Hex):28 Data(Dec):40 | Type:SDP
[Driver_1] ID:48 Name:pkt_1 | Src:0010 Tgt:1000 | Data(Hex):55 Data(Dec):85 | Type:SDP
[Monitor_1] ID:49 Name:monitored | Src:1000 Tgt:0110 | Data(Hex):37 Data(Dec):55 | Type:MDP
[Monitor_2] ID:50 Name:monitored | Src:1000 Tgt:0110 | Data(Hex):37 Data(Dec):55 | Type:MDP
[Driver_0] ID:51 Name:pkt_0 | Src:0001 Tgt:0100 | Data(Hex):7b Data(Dec):123 | Type:SDP
[Checker] Predicted Drop: Packet ID 52 is INVALID (Src:0100 Tgt:0100). Ignoring.
[Driver_2] ID:52 Name:pkt_2 | Src:0100 Tgt:0100 | Data(Hex):a9 Data(Dec):169 | Type:SDP
